saledate,saledate_y,ward,age,rmdl,ttl_bathrms,heat_d,ac,num_units,rooms,bedrms,stories,log_gba,extwall_d,roof_d,floor_d,kitchens,fireplaces,landarea,price,log_price
2019-09-24,2019,7,10 or Fewer,No,3.5,Forced Air,Yes,1,8,4,2 or Fewer,7.385230923066573,Brick,Flat,Hard,1,0,"2,000 to 4,999",440000.0,12.994530005894443
2019-09-24,2019,7,71 to 80,Yes,4 or More,Forced Air,Yes,1,6,3,2 or Fewer,7.2399325913204695,Brick,Flat,Hard,2 or More,0,"2,000 to 4,999",499000.0,13.120361374733656
2019-09-24,2019,4,61 to 70,Yes,2.5,Forced Air,Yes,1,5 or Fewer,3,2 or Fewer,6.7661917146603505,Brick,Flat,Hard,1,0,"1,000 to 1,999",549900.0,13.217491722495906
2019-09-24,2019,3,91 to 100,Yes,4 or More,Forced Air,Yes,1,7,3,2 or Fewer,7.866722285136729,Stone,Shingle,Hard,1,1,"5,000 or More",1387500.0,14.143014124602727
2019-09-24,2019,4,91 to 100,Yes,3.5,Forced Air,Yes,1,6,3,2 or Fewer,7.011213987350367,Brick,Flat,Hard,1,0,"2,000 to 4,999",634900.0,13.36122278515854
2019-09-24,2019,7,11 to 60,No,2.5,Forced Air,Yes,1,5 or Fewer,4,2 or Fewer,7.138866999945524,Brick,Shingle,Hard,1,2 or More,"5,000 or More",490000.0,13.102160670086809
2019-09-24,2019,3,91 to 100,Yes,2,Forced Air,Yes,2 or More,9,3,2 or Fewer,7.049254841255837,Brick,Shingle,Hard,2 or More,0,"1,000 to 1,999",875000.0,13.681979165339751
2019-09-25,2019,5,61 to 70,No,2,Forced Air,Yes,1,7,4,2 or Fewer,6.984716320118266,Brick,Shingle,Hard,1,0,"2,000 to 4,999",486700.0,13.095403195821545
2019-09-25,2019,7,71 to 80,Yes,2,Forced Air,Yes,1,5 or Fewer,2 or Fewer,2 or Fewer,6.684611727667927,Brick,Shingle,Hard,1,0,"2,000 to 4,999",360000.0,12.793859310432293
2019-09-25,2019,4,61 to 70,Yes,1.5,Forced Air,Yes,1,6,3,2 or Fewer,7.0630481633881725,Brick,Flat,Hard,1,0,"2,000 to 4,999",420000.0,12.948009990259552
